,Job Title,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Starting Salary,End Salary
285,Data Scientist,1.0,Trovetechs Inc,"San Francisco, CA","Hillsborough, NJ",Unknown,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,141000,225000
286,Senior Data Scientist - R&D Oncology,4.0,AstraZeneca,"New York, NY","Cambridge, United Kingdom",10000+ employees,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),141000,225000
287,Data Scientist,4.2,Oshkosh Corporation,"Oshkosh, WI","Oshkosh, WI",10000+ employees,1917,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$5 to $10 billion (USD),141000,225000
288,Data Scientist,4.3,Joby Aviation,"San Carlos, CA","Santa Cruz, CA",51 to 200 employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,141000,225000
289,Data Scientist,3.4,Mackin,"Menlo Park, CA","Pittsburgh, PA",51 to 200 employees,1960,Company - Private,Architectural & Engineering Services,Business Services,$10 to $25 million (USD),141000,225000
290,Data Scientist,1.0,PETADATA,"San Francisco, CA","Fremont, CA",51 to 200 employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,141000,225000
291,Data Scientist,4.4,VBeyond Corporation,"Dallas, TX","Hillsborough, NJ",201 to 500 employees,2006,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),141000,225000
292,Data Scientist Machine Learning,3.5,Leidos,"Arlington, VA","Reston, VA",10000+ employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),141000,225000
293,Data Scientist,3.7,Take-Two,"San Francisco, CA","New York, NY",1001 to 5000 employees,1993,Company - Public,Video Games,Media,$1 to $2 billion (USD),141000,225000
294,Data Scientist,3.7,Colony Brands,"Monroe, WI","Monroe, WI",501 to 1000 employees,Unknown,Company - Private,Food & Beverage Stores,Retail,$100 to $500 million (USD),141000,225000
295,Data Scientist,4.1,Capio Group,"Sacramento, CA","Goteborg, Sweden",10000+ employees,Unknown,Hospital,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,141000,225000
296,Data Scientist,3.4,SleePare,"New York, NY","New York, NY",1 to 50 employees,2017,Company - Private,Other Retail Stores,Retail,Unknown / Non-Applicable,141000,225000
297,Data Analyst,4.5,ShorePoint,"Reston, VA","Washington, DC",1 to 50 employees,2017,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,141000,225000
298,Data Scientist,3.5,Dolphin,"New York, NY","Lake Buena Vista, FL",1001 to 5000 employees,1990,Company - Private,"Hotels, Motels, & Resorts",Travel & Tourism,Unknown / Non-Applicable,141000,225000
299,Data Scientist,3.6,TE Connectivity,"Hampton, VA","Schaffhausen, Switzerland",10000+ employees,2007,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$10+ billion (USD),141000,225000
300,Data Scientist,3.2,State of Virginia,"Richmond, VA","Richmond, VA",10000+ employees,1788,Government,State & Regional Agencies,Government,$10+ billion (USD),141000,225000
301,Data Scientist,3.7,TA Digital,"New York, NY","Newark, CA",501 to 1000 employees,2000,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),141000,225000
302,Data Scientist,4.0,Market America Inc,"Monterey, CA","Greensboro, NC",501 to 1000 employees,1992,Company - Private,Other Retail Stores,Retail,$100 to $500 million (USD),141000,225000
303,Data Scientist,3.2,Triplebyte,"Chicago, IL","San Francisco, CA",51 to 200 employees,2015,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,145000,225000
304,Data Scientist,4.5,Kingfisher Systems,"McLean, VA","Falls Church, VA",51 to 200 employees,2005,Company - Private,Federal Agencies,Government,$25 to $50 million (USD),145000,225000
305,Chief Scientist,3.4,TrueAccord,Remote,"San Francisco, CA",51 to 200 employees,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,145000,225000
306,Data Scientist,3.9,ALTA IT Services,"Woodlawn, MD","Rockville, MD",201 to 500 employees,2004,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),145000,225000
307,Data Scientist,3.2,Kollasoft Inc.,United States,"Scottsdale, AZ",1 to 50 employees,Unknown,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),145000,225000
308,Data Scientist,5.0,Kollasoft Inc.,"New York, NY","Irving, TX",Unknown,Unknown,Company - Public,Unknown,Unknown,Unknown / Non-Applicable,145000,225000
309,Data Scientist,3.4,ASRC Federal Holding Company,"Reston, VA","Beltsville, MD",5001 to 10000 employees,2003,Company - Private,Aerospace & Defense,Aerospace & Defense,$500 million to $1 billion (USD),145000,225000
310,Data Scientist,4.4,Adwait Algorithm,"New York, NY","Houston, TX",51 to 200 employees,2015,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,145000,225000
311,"Health Plan Data Analyst, Sr",3.8,Cook Children's Health Care System,"Fort Worth, TX","Fort Worth, TX",5001 to 10000 employees,1918,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),145000,225000
312,"Principal Scientist/Associate Director, Quality Control and Analytical Technologies",3.8,Rubius Therapeutics,"Smithfield, RI","Cambridge, MA",201 to 500 employees,2013,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),145000,225000
313,Data Scientist,3.5,Cambridge FX,"Atlanta, GA","Toronto, Canada",201 to 500 employees,1992,Company - Public,Financial Transaction Processing,Finance,$100 to $500 million (USD),145000,225000
314,Senior Data Scientist,3.8,Metromile,"San Francisco, CA","San Francisco, CA",201 to 500 employees,2011,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable,145000,225000
315,Data Scientist,3.9,Criteo,"Ann Arbor, MI","Paris, France",1001 to 5000 employees,2005,Company - Public,Internet,Information Technology,$2 to $5 billion (USD),145000,225000
316,Data Scientist,3.4,Advance Sourcing Concepts,"Pittsburgh, PA","Pittsburgh, PA",51 to 200 employees,Unknown,Company - Private,Unknown,Unknown,$1 to $5 million (USD),145000,225000
317,Data Scientist,3.8,Enterprise Solutions Inc,"New York, NY","Naperville, IL",51 to 200 employees,2000,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),145000,225000
318,Analytics - Business Assurance Data Analyst,4.6,GreatAmerica Financial Services,"Cedar Rapids, IA","Cedar Rapids, IA",501 to 1000 employees,1992,Company - Private,Lending,Finance,$100 to $500 million (USD),145000,225000
319,Data Scientist,1.0,Microagility,"New York, NY","Princeton, NJ",1 to 50 employees,Unknown,Company - Private,Consulting,Business Services,$1 to $5 million (USD),145000,225000
320,Data Scientist,4.6,"Conch Technologies, Inc","Concord, CA","Memphis, TN",51 to 200 employees,Unknown,Company - Private,Consulting,Business Services,$5 to $10 million (USD),145000,225000
321,"Development Scientist, Voltaren",3.9,GSK,"Richmond, VA","Brentford, United Kingdom",10000+ employees,1830,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),145000,225000
322,Data Scientist,1.0,"Rainmaker Resources, LLC","Cincinnati, OH","Cincinnati, OH",1 to 50 employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,145000,225000
323,Data Scientist,3.7,GovTech,"San Francisco, CA","Singapore, Singapore",1001 to 5000 employees,2016,Government,Federal Agencies,Government,Unknown / Non-Applicable,79000,147000
324,Data Scientist,3.3,Intellectual Ventures,"Bellevue, WA","Bellevue, WA",501 to 1000 employees,2000,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,79000,147000
325,Data Engineer,4.4,Rocket Lawyer,"San Francisco, CA","San Francisco, CA",51 to 200 employees,2008,Company - Private,Computer Hardware & Software,Information Technology,$50 to $100 million (USD),79000,147000
326,Data Scientist,3.7,22nd Century Technologies,"Oakland, CA","Somerset, NJ",1001 to 5000 employees,1997,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),79000,147000
327,Data Scientist,3.3,Huxley,"San Francisco, CA","London, United Kingdom",201 to 500 employees,1995,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),79000,147000
328,Data Scientist,3.4,FM Systems,"Boston, MA","Raleigh, NC",51 to 200 employees,1984,Company - Private,Computer Hardware & Software,Information Technology,$5 to $10 million (USD),79000,147000
329,Data Scientist,1.0,B4Corp,"Reston, VA","Leesburg, VA",51 to 200 employees,Unknown,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,79000,147000
330,Machine Learning Engineer,3.7,Mteq,"Fort Belvoir, VA","Lorton, VA",501 to 1000 employees,1954,Company - Public,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),79000,147000
331,Principal Data & Analytics Platform Engineer,3.7,Blue Cross and Blue Shield of North Carolina,"Durham, NC","Durham, NC",1001 to 5000 employees,1933,Company - Private,Insurance Carriers,Insurance,$5 to $10 billion (USD),79000,147000
332,Machine Learning Engineer/Scientist,4.8,Jane Street,"New York, NY","New York, NY",501 to 1000 employees,2000,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,79000,147000
333,Data Scientist,5.0,SSATI,"McLean, VA","Annapolis Junction, MD",1 to 50 employees,2003,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),79000,147000
334,"Senior Data Scientist – Image Analytics, Novartis AI Innovation Lab",3.9,Novartis,"Cambridge, MA","Basel, Switzerland",10000+ employees,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),79000,147000
335,Data Scientist,3.4,Solving IT International Inc,"Chicago, IL","Chicago, IL",501 to 1000 employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,79000,147000
336,Data Scientist,3.3,The Davey Tree Expert Company,"Kent, OH","Kent, OH",10000+ employees,1880,Self-employed,Timber Operations,Agriculture & Forestry,$1 to $2 billion (USD),79000,147000
337,Data Scientist,4.6,Centauri,"Reston, VA","Chantilly, VA",501 to 1000 employees,1999,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),79000,147000
338,Data Scientist,1.0,Stride Search,"San Francisco, CA","Westlake Village, CA",1 to 50 employees,Unknown,Company - Private,Unknown,Unknown,Less than $1 million (USD),79000,147000
339,Machine Learning Engineer,2.6,Software Engineering Institute,"Pittsburgh, PA","Pittsburgh, PA",501 to 1000 employees,1984,College / University,Colleges & Universities,Education,Unknown / Non-Applicable,79000,147000
340,Data Analyst - Unilever Prestige,3.8,Dermalogica,"Carson, CA","Carson, CA",201 to 500 employees,1986,Subsidiary or Business Segment,Consumer Products Manufacturing,Manufacturing,$100 to $500 million (USD),79000,147000
341,Data Scientist,4.8,TechProjects,"New York, NY","North Brunswick, NJ",1 to 50 employees,2011,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,79000,147000
342,"VP, Data Science",3.9,7Park Data,"New York, NY","New York, NY",51 to 200 employees,2012,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,79000,147000
343,Data Scientist,4.0,Netskope,"Santa Clara, CA","Santa Clara, CA",501 to 1000 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,122000,146000
344,Data Scientist,4.2,Eversight,"Palo Alto, CA","Palo Alto, CA",51 to 200 employees,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD),122000,146000
345,Senior Business Intelligence Analyst,3.7,Protolabs,"Maple Plain, MN","Maple Plain, MN",1001 to 5000 employees,1999,Company - Public,Miscellaneous Manufacturing,Manufacturing,$100 to $500 million (USD),122000,146000
346,Data Scientist,3.0,Ameritas Life Insurance Corp,"Cincinnati, OH","Lincoln, NE",1001 to 5000 employees,1887,Company - Private,Insurance Agencies & Brokerages,Insurance,$2 to $5 billion (USD),122000,146000
347,Data Engineer - Kafka,3.5,Western Digital,"San Jose, CA","San Jose, CA",10000+ employees,1970,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),122000,146000
348,Data Scientist,2.9,"Shimento, Inc.","Santa Clara, CA","Benicia, CA",1 to 50 employees,Unknown,Company - Private,Unknown,Unknown,$1 to $5 million (USD),122000,146000
349,Data Scientist,5.0,Averity,"New York, NY","New York, NY",1 to 50 employees,2014,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,122000,146000
350,Data Scientist,4.7,Praxis Engineering,"Chantilly, VA","Annapolis Junction, MD",201 to 500 employees,2002,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),122000,146000
351,Data Scientist,1.0,Point72 Ventures,"Palo Alto, CA",Unknown,-1,Unknown,-1,Unknown,Unknown,-1,122000,146000
352,Decision Scientist,4.5,Johns Hopkins University Applied Physics Laboratory,"Laurel, MD","Laurel, MD",5001 to 10000 employees,1942,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),122000,146000
353,Data Scientist,4.9,Cambridge Mobile Telematics,"Cambridge, MA","Cambridge, MA",1 to 50 employees,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,122000,146000
354,Data Science All Star Program - Data Engineer Track,4.6,Blend360,"Columbia, MD","Columbia, MD",51 to 200 employees,2002,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,122000,146000
355,Data Scientist - TS/SCI FSP or CI Required,5.0,Phoenix Operations Group,"Annapolis Junction, MD","Woodbine, MD",1 to 50 employees,2011,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),122000,146000
356,Data Analyst,3.9,Nolij Consulting,"Falls Church, VA","Vienna, VA",51 to 200 employees,2012,Company - Public,Consulting,Business Services,$1 to $5 million (USD),122000,146000
357,Data Scientist,1.0,Hatch Data Inc,"San Francisco, CA",Unknown,-1,Unknown,-1,Unknown,Unknown,-1,122000,146000
358,Data Scientist,1.0,Hatch Data Inc,"San Francisco, CA",Unknown,-1,Unknown,-1,Unknown,Unknown,-1,122000,146000
359,Data Scientist,1.0,Hatch Data Inc,"San Francisco, CA",Unknown,-1,Unknown,-1,Unknown,Unknown,-1,122000,146000
360,Data Scientist,1.0,Hatch Data Inc,"San Francisco, CA",Unknown,-1,Unknown,-1,Unknown,Unknown,-1,122000,146000
361,Data Scientist,1.0,Hatch Data Inc,"San Francisco, CA",Unknown,-1,Unknown,-1,Unknown,Unknown,-1,122000,146000
362,Data Scientist,1.0,Hatch Data Inc,"San Francisco, CA",Unknown,-1,Unknown,-1,Unknown,Unknown,-1,122000,146000
363,Senior Data Scientist,3.5,Maxar Technologies,"Herndon, VA","Westminster, CO",5001 to 10000 employees,Unknown,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),122000,146000
364,Data Scientist,4.3,Quick Base,"Cambridge, MA","Cambridge, MA",201 to 500 employees,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,112000,116000
365,Data Scientist,3.7,Takeda,"Cambridge, MA","OSAKA, Japan",10000+ employees,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),112000,116000
366,Data Scientist,3.5,Maxar Technologies,"Herndon, VA","Westminster, CO",5001 to 10000 employees,Unknown,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),112000,116000
367,ENGINEER - COMPUTER SCIENTIST - RESEARCH COMPUTER SCIENTIST - SIGNAL PROCESSING - SAN ANTONIO OR,3.9,Southwest Research Institute,"Oklahoma City, OK","San Antonio, TX",1001 to 5000 employees,1947,Nonprofit Organization,Research & Development,Business Services,$500 million to $1 billion (USD),112000,116000
368,Data Scientist,4.7,Compass Consulting Group,"Thousand Oaks, CA","Danville, CA",51 to 200 employees,2008,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,112000,116000
369,Data Science Software Engineer,4.8,Klaviyo,"Boston, MA","Boston, MA",201 to 500 employees,2012,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,112000,116000
370,AI Ops Data Scientist,4.0,AstraZeneca,"Gaithersburg, MD","Cambridge, United Kingdom",10000+ employees,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),112000,116000
371,Data Scientist,4.4,"SolutionIT, Inc.","Edison, NJ","Wilmington, MA",51 to 200 employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,112000,116000
372,Data Scientist,3.2,Perspecta,"Adelphi, MD","Chantilly, VA",10000+ employees,2018,Company - Public,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,112000,116000
373,Data Scientist,4.5,Smith Hanley Associates,"Washington, DC","New York, 061",1 to 50 employees,1980,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,112000,116000
374,Scientist - Machine Learning,3.5,Allen Institute,"Seattle, WA","Seattle, WA",201 to 500 employees,2003,Nonprofit Organization,Research & Development,Business Services,$100 to $500 million (USD),112000,116000
375,Data Scientist,4.4,Eliassen Group,"Plano, TX","Reading, MA",1001 to 5000 employees,1989,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),112000,116000
376,Data Scientist,3.1,Bayside Solutions,"Sunnyvale, CA","Pleasanton, CA",1 to 50 employees,2001,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),112000,116000
377,Sr. Data Scientist,3.5,Evolve Vacation Rental,"Denver, CO","Denver, CO",201 to 500 employees,2011,Company - Private,Travel Agencies,Travel & Tourism,Unknown / Non-Applicable,112000,116000
378,Data Scientist,3.8,AgreeYa Solutions,"Thousand Oaks, CA","Folsom, CA",1001 to 5000 employees,1999,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),112000,116000
379,Data Scientist,3.7,Carolina Power & Light Co,"McLean, VA","Raleigh, NC",5001 to 10000 employees,1908,Subsidiary or Business Segment,Energy,"Oil, Gas, Energy & Utilities",Unknown / Non-Applicable,112000,116000
380,Analytics Manager - Data Mart,3.5,Central California Alliance for Health,"Scotts Valley, CA","Scotts Valley, CA",501 to 1000 employees,1996,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),112000,116000
381,Data Modeler (Analytical Systems),3.7,MassMutual,"Boston, MA","Springfield, MA",5001 to 10000 employees,1851,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),112000,116000
382,Applied AI Scientist / Engineer,5.0,"New Iron Group, Inc.","Boston, MA","Austin, TX",1 to 50 employees,2003,Contract,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,112000,116000
383,"Data Engineer (Analytics, SQL, Python, AWS)",4.0,Travelers,"Hartford, CT","Hartford, CT",10000+ employees,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),112000,116000
384,Senior Data Analyst - Finance & Platform Analytics,3.6,Twitch,"San Francisco, CA","San Francisco, CA",1001 to 5000 employees,2011,Subsidiary or Business Segment,Internet,Information Technology,Unknown / Non-Applicable,112000,116000
385,Senior Data Scientist,4.8,Klaviyo,"Boston, MA","Boston, MA",201 to 500 employees,2012,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,110000,163000
386,Market Research Data Scientist,3.8,GutCheck,"Denver, CO","Denver, CO",51 to 200 employees,2009,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),110000,163000
387,IT Partner Digital Health Technology and Data Science,3.6,Biogen,"Cambridge, MA","Cambridge, MA",5001 to 10000 employees,1978,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),110000,163000
388,Data Scientist,1.0,HireAi,"San Francisco, CA",Unknown,-1,Unknown,-1,Unknown,Unknown,-1,110000,163000
389,Data Scientist,1.0,HireAi,"San Francisco, CA",Unknown,-1,Unknown,-1,Unknown,Unknown,-1,110000,163000
390,"Senior Machine Learning Scientist - Bay Area, CA",3.3,Tempus Labs,"Redwood City, CA","Chicago, IL",501 to 1000 employees,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,110000,163000
391,"Software Engineer (Data Scientist, C,C++,Linux,Unix) - SISW - MG",4.1,Mentor Graphics,"Fremont, CA","Wilsonville, OR",5001 to 10000 employees,1981,Company - Public,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),110000,163000
392,Senior Clinical Data Scientist Programmer,3.6,WCG (WIRB-Copernicus Group),"Hamilton, NJ","Princeton, NJ",1001 to 5000 employees,Unknown,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),110000,163000
393,Data Engineer,4.5,Kingfisher Systems,"Falls Church, VA","Falls Church, VA",51 to 200 employees,2005,Company - Private,Federal Agencies,Government,$25 to $50 million (USD),110000,163000
394,Computer Vision / Deep Learning Scientist,3.3,Tempus Labs,"Chicago, IL","Chicago, IL",501 to 1000 employees,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,110000,163000
395,Data Solutions Engineer - Data Modeler,3.4,Liberty Mutual Insurance,"Indianapolis, IN","Boston, MA",10000+ employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),110000,163000
396,Data Scientist,4.3,Visionary Integration Professionals,"Washington, DC","Folsom, CA",501 to 1000 employees,1996,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),110000,163000
397,Data Scientist (TS/SCI w/ Poly),3.5,Maxar Technologies,"Herndon, VA","Westminster, CO",5001 to 10000 employees,Unknown,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),110000,163000
398,Weapons and Sensors Engineer/Scientist,4.0,Dynetics,"Huntsville, AL","Huntsville, AL",1001 to 5000 employees,1974,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),110000,163000
399,Applied Computer Scientist,4.5,Systems & Technology Research,"Woburn, MA","Woburn, MA",201 to 500 employees,2010,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),110000,163000
400,Senior Data Analyst,4.5,Novetta,"Herndon, VA","Mc Lean, VA",501 to 1000 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),110000,163000
401,Cloud Data Engineer (Azure),3.9,Navy Federal Credit Union,"Merrifield, VA","Vienna, VA",10000+ employees,1933,Other Organization,Banks & Credit Unions,Finance,Unknown / Non-Applicable,110000,163000
402,"Lead Certified Clinical Laboratory Scientist - Saturday - Tuesday, 8:00pm - 6:30am shift",4.0,Exact Sciences Corporation,"Madison, WI","Madison, WI",1001 to 5000 employees,1995,Company - Public,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),110000,163000
403,Sr. Data Analyst,3.6,Community Behavioral Health,"Philadelphia, PA","Phila, PA",201 to 500 employees,1994,Company - Private,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),110000,163000
404,Senior Scientist - Toxicologist - Product Integrity (Stewardship),3.3,Reynolds American,"Winston-Salem, NC","Winston-Salem, NC",5001 to 10000 employees,1875,Company - Private,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),110000,163000
405,Senior Machine Learning Engineer,5.0,LifeOmic,"Raleigh, NC","Indianapolis, IN",51 to 200 employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,110000,163000
406,Product Data Scientist - Ads Data Science,4.1,Twitter,"San Francisco, CA","San Francisco, CA",1001 to 5000 employees,2006,Company - Public,Internet,Information Technology,$2 to $5 billion (USD),124000,198000
407,Data Scientist,3.2,Postmates - Corporate HQ,"San Francisco, CA","San Francisco, CA",1001 to 5000 employees,2011,Company - Private,Express Delivery Services,Transportation & Logistics,Unknown / Non-Applicable,124000,198000
408,Data Scientist,4.9,"Visionist, Inc.","Columbia, MD","Columbia, MD",51 to 200 employees,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD),124000,198000
409,Data Scientist,1.0,Navio,"San Mateo, CA","Half Moon Bay, CA",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,124000,198000
410,Data Scientist,3.3,Concerto HealthAI,"Boston, MA","Boston, MA",201 to 500 employees,2018,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,124000,198000
411,Data Scientist,1.0,Evolvinc,"Burbank, CA","Los Angeles, CA",1 to 50 employees,2005,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,124000,198000
412,Data Scientist,5.0,PROPRIUS,"Sunnyvale, CA","London, United Kingdom",1 to 50 employees,Unknown,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,124000,198000
413,Data Scientist,3.4,TECHNOCRAFT Solutions,"San Ramon, CA","Hilliard, OH",1 to 50 employees,Unknown,Company - Private,Advertising & Marketing,Business Services,$1 to $5 million (USD),124000,198000
414,Data Scientist,4.1,"Latitude, Inc.","Washington, DC","Hanover, MD",1 to 50 employees,Unknown,Company - Private,Consulting,Business Services,$1 to $5 million (USD),124000,198000
415,Data Scientist,5.0,Royce Geospatial,"Springfield, VA","Arlington, VA",51 to 200 employees,2014,Company - Private,Aerospace & Defense,Aerospace & Defense,$10 to $25 million (USD),124000,198000
416,Data Scientist,4.2,CyberCoders,"Phoenix, AZ","Irvine, CA",201 to 500 employees,1999,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),124000,198000
417,Data Scientist,3.7,Booz Allen Hamilton Inc.,"Oxnard, CA","Mc Lean, VA",10000+ employees,1914,Company - Public,Consulting,Business Services,$5 to $10 billion (USD),124000,198000
418,Data Scientist,3.8,Burns & McDonnell,"Kansas City, MO","Kansas City, MO",5001 to 10000 employees,1898,Company - Private,Architectural & Engineering Services,Business Services,$1 to $2 billion (USD),124000,198000
419,Data Scientist,4.8,InvenTech Info,"Jersey City, NJ","Bengaluru, India",201 to 500 employees,2010,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),124000,198000
420,Data Scientist,3.5,Robert Half,"Manchester, NH","Menlo Park, CA",10000+ employees,1948,Company - Public,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD),124000,198000
421,Analytics - Business Assurance Data Analyst,4.6,GreatAmerica Financial Services,"Cedar Rapids, IA","Cedar Rapids, IA",501 to 1000 employees,1992,Company - Private,Lending,Finance,$100 to $500 million (USD),124000,198000
422,Data Scientist,4.5,Conflux Systems Inc.,"Winters, TX","Alpharetta, GA",1 to 50 employees,Unknown,Company - Private,Accounting,Accounting & Legal,Less than $1 million (USD),124000,198000
423,Data Scientist,3.9,Criteo,"Ann Arbor, MI","Paris, France",1001 to 5000 employees,2005,Company - Public,Internet,Information Technology,$2 to $5 billion (USD),124000,198000
424,Data Scientist,3.4,Voice,"Brooklyn, NY",Unknown,Unknown,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,124000,198000
425,Data Scientist,1.0,Microagility,"New York, NY","Princeton, NJ",1 to 50 employees,Unknown,Company - Private,Consulting,Business Services,$1 to $5 million (USD),124000,198000
426,Data Scientist,4.1,Coverent,"McLean, VA","McLean, VA",51 to 200 employees,2008,Company - Private,Consulting,Business Services,$10 to $25 million (USD),124000,198000
427,Data Scientist,3.7,Via Transportation,"New York, NY","New York, NY",501 to 1000 employees,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,79000,133000
428,Senior Data Scientist,3.5,Benson Hill,"Saint Louis, MO","Saint Louis, MO",201 to 500 employees,2012,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),79000,133000
429,Data Scientist,4.6,"Conch Technologies, Inc","Concord, CA","Memphis, TN",51 to 200 employees,Unknown,Company - Private,Consulting,Business Services,$5 to $10 million (USD),79000,133000
